id,datetime,platform,orbit_direction,relative_orbit,polarization,instrument_mode,product_type,source,period,bbox
S1A_IW_GRDH_1SDV_20241026T175501_20241026T175526_056277_06E43E,2024-10-26T17:55:13.532065Z,sentinel-1a,ascending,30,"['VV', 'VH']",IW,GRD,https://earth-search.aws.element84.com/v1,pre-event,"[-1.1252867, 39.2022299, 2.10001, 41.0945001]"
S1A_IW_GRDH_1SDV_20241026T175436_20241026T175501_056277_06E43E,2024-10-26T17:54:48.532209Z,sentinel-1a,ascending,30,"['VV', 'VH']",IW,GRD,https://earth-search.aws.element84.com/v1,pre-event,"[-0.774132, 37.6983204, 2.4071369, 39.5934644]"
S1A_IW_GRDH_1SDV_20241025T061041_20241025T061106_056255_06E360,2024-10-25T06:10:54.066442Z,sentinel-1a,descending,8,"['VV', 'VH']",IW,GRD,https://earth-search.aws.element84.com/v1,pre-event,"[-3.1223753, 37.7403959, 0.0746372, 39.6369899]"
S1A_IW_GRDH_1SDV_20241025T061016_20241025T061041_056255_06E360,2024-10-25T06:10:29.066876Z,sentinel-1a,descending,8,"['VV', 'VH']",IW,GRD,https://earth-search.aws.element84.com/v1,pre-event,"[-2.811808, 39.2443803, 0.4435571, 41.1388022]"
S1A_IW_GRDH_1SDV_20241020T060232_20241020T060257_056182_06E074,2024-10-20T06:02:44.757665Z,sentinel-1a,descending,110,"['VV', 'VH']",IW,GRD,https://earth-search.aws.element84.com/v1,pre-event,"[-1.1082909, 37.5162479, 2.0735744, 39.4122756]"
S1A_IW_GRDH_1SDV_20241020T060207_20241020T060232_056182_06E074,2024-10-20T06:02:19.757291Z,sentinel-1a,descending,110,"['VV', 'VH']",IW,GRD,https://earth-search.aws.element84.com/v1,pre-event,"[-0.8037896, 39.0197131, 2.4486464, 40.914376]"
S1A_IW_GRDH_1SDV_20241019T180256_20241019T180321_056175_06E02E,2024-10-19T18:03:08.670225Z,sentinel-1a,ascending,103,"['VV', 'VH']",IW,GRD,https://earth-search.aws.element84.com/v1,pre-event,"[-2.9127805, 38.0674501, 0.2719225, 39.9588897]"
S1A_IW_GRDH_1SDV_20241014T175501_20241014T175526_056102_06DD4A,2024-10-14T17:55:13.776984Z,sentinel-1a,ascending,30,"['VV', 'VH']",IW,GRD,https://earth-search.aws.element84.com/v1,pre-event,"[-1.124473, 39.2028177, 2.0998861, 41.0946113]"
S1A_IW_GRDH_1SDV_20241014T175436_20241014T175501_056102_06DD4A,2024-10-14T17:54:48.777361Z,sentinel-1a,ascending,30,"['VV', 'VH']",IW,GRD,https://earth-search.aws.element84.com/v1,pre-event,"[-0.7738537, 37.6988652, 2.4073972, 39.5935808]"
S1A_IW_GRDH_1SDV_20241013T061041_20241013T061106_056080_06DC6A,2024-10-13T06:10:54.367038Z,sentinel-1a,descending,8,"['VV', 'VH']",IW,GRD,https://earth-search.aws.element84.com/v1,pre-event,"[-3.1235189, 37.7407321, 0.0735648, 39.6369179]"
